Id,type,label,cluster_id,cluster_size,label_2,longitude,latitude,community_url,label_old,member_count,label_edited_count
healmyptsd_co-occurrence,community,Heal My PTSD,,,Heal My PTSD (12792),40,19.0,healmyptsd,Heal My PTSD,12792.0,Heal My PTSD (12792)
painconcern_co-occurrence,community,Pain Concern,,,Pain Concern (12190),40,18.0,painconcern,Pain Concern,12190.0,Pain Concern (12190)
diabetesindia_co-occurrence,community,Diabetes India,,,Diabetes India (12107),40,17.0,diabetesindia,Diabetes India,12107.0,Diabetes India (12107)
hughes-syndrome_co-occurrence,community,Hughes Syndrome APS,,,Hughes Syndrome APS Forum (10649),40,16.0,hughes-syndrome,Hughes Syndrome APS Forum,10649.0,Hughes Syndrome APS (10649)
menshealth-penishealth_co-occurrence,community,Men's Health (Penis Health),,,Men's Health Forum (Penis Health) (9139),40,15.0,menshealth-penishealth,Men's Health Forum (Penis Health),9139.0,Men's Health (Penis Health) (9139)
pbc-foundation_co-occurrence,community,Primary Biliary Cholangitis (PBS) (Autoimmune),,,PBC Foundation (8523),40,14.0,pbc-foundation,PBC Foundation,8523.0,Primary Biliary Cholangitis (PBS) (Autoimmune) (8523)
adhd-parents_co-occurrence,community,CHADD's ADHD Parents Together,,,CHADD's ADHD Parents Together (6541),40,13.0,adhd-parents,CHADD's ADHD Parents Together,6541.0,CHADD's ADHD Parents Together (6541)
adult-adhd_co-occurrence,community,CHADD's Adult ADHD,,,CHADD's Adult ADHD Support (6368),40,12.0,adult-adhd,CHADD's Adult ADHD Support,6368.0,CHADD's Adult ADHD (6368)
tinnitus-uk_co-occurrence,community,Tinnitus UK,,,Tinnitus UK (5616),40,11.0,tinnitus-uk,Tinnitus UK,5616.0,Tinnitus UK (5616)
nkf-ckd_co-occurrence,community,Kidney Disease,,,Kidney Disease (5304),40,10.0,nkf-ckd,Kidney Disease,5304.0,Kidney Disease (5304)
ataxia-uk_co-occurrence,community,Ataxia UK,,,Ataxia UK (4708),40,9.0,ataxia-uk,Ataxia UK,4708.0,Ataxia UK (4708)
menshealth_co-occurrence,community,Men's Health,,,Men's Health Forum (4668),40,8.0,menshealth,Men's Health Forum,4668.0,Men's Health (4668)
glutenfreeguerrillas_co-occurrence,community,Gluten Free Guerrillas,,,Gluten Free Guerrillas (4439),40,7.0,glutenfreeguerrillas,Gluten Free Guerrillas,4439.0,Gluten Free Guerrillas (4439)
behcetsuk_co-occurrence,community,Behçet's UK (Autoimmune),,,Behçet's UK (4412),40,6.0,behcetsuk,Behçet's UK,4412.0,Behçet's UK (Autoimmune) (4412)
womenshealth_co-occurrence,community,Women's Health,,,Women's Health (4181),40,5.0,womenshealth,Women's Health,4181.0,Women's Health (4181)
lungcancer_co-occurrence,community,Lung Cancer,,,The Roy Castle Lung Cancer Foundation (3592),40,4.0,lungcancer,The Roy Castle Lung Cancer Foundation,3592.0,Lung Cancer (3592)
livingwithanxiety_co-occurrence,community,Living with Anxiety,,,Living with Anxiety (3328),40,3.0,livingwithanxiety,Living with Anxiety,3328.0,Living with Anxiety (3328)
bonehealth_co-occurrence,community,Bone Health & Osteoporosis UK,,,Bone Health and Osteoporosis UK (3034),40,2.0,bonehealth,Bone Health and Osteoporosis UK,3034.0,Bone Health & Osteoporosis UK (3034)
eric_co-occurrence,community,ERIC (Bowel & Bladder),,,ERIC (3021),40,1.0,eric,ERIC,3021.0,ERIC (Bowel & Bladder) (3021)
early-ckd-support_co-occurrence,community,Early Chronic Kidney Disease (CKD),,,Early CKD Support (2783),40,0.0,early-ckd-support,Early CKD Support,2783.0,Early Chronic Kidney Disease (CKD) (2783)
app-network_co-occurrence,community,Postpartum Psychosis,,,Action on Postpartum Psychosis (2730),40,-1.0,app-network,Action on Postpartum Psychosis,2730.0,Postpartum Psychosis (2730)
migrainecentre_co-occurrence,community,National Migraine Centre,,,National Migraine Centre (2704),40,-2.0,migrainecentre,National Migraine Centre,2704.0,National Migraine Centre (2704)
lsn_co-occurrence,community,Lymphoedema ,,,LSN (2679),40,-3.0,lsn,LSN,2679.0,Lymphoedema  (2679)
cholesterol-support_co-occurrence,community,Cholesterol,,,Cholesterol Support (2651),40,-4.0,cholesterol-support,Cholesterol Support,2651.0,Cholesterol (2651)
macularsociety_co-occurrence,community,Macular,,,Macular Society (2646),40,-5.0,macularsociety,Macular Society,2646.0,Macular (2646)
icusteps_co-occurrence,community,Intensive Care Unit (ICU) Steps ,,,ICUsteps (2515),40,-6.0,icusteps,ICUsteps,2515.0,Intensive Care Unit (ICU) Steps  (2515)
active10_co-occurrence,community,Active,,,Active (2446),40,-7.0,active10,Active,2446.0,Active (2446)
care-community_co-occurrence,community,Care Community,,,Care Community (2372),40,-8.0,care-community,Care Community,2372.0,Care Community (2372)
lung-cancer-support_co-occurrence,community,Lung Cancer,,,Lung Cancer Support (2224),40,-9.0,lung-cancer-support,Lung Cancer Support,2224.0,Lung Cancer (2224)
arthritis-action_co-occurrence,community,Arthritis,,,Arthritis Action (2183),40,-10.0,arthritis-action,Arthritis Action,2183.0,Arthritis (2183)
glaucoma-uk_co-occurrence,community,Glaucoma UK,,,Glaucoma UK (2179),40,-11.0,glaucoma-uk,Glaucoma UK,2179.0,Glaucoma UK (2179)
meningitisnow_co-occurrence,community,Meningitis Now,,,Meningitis Now (2133),40,-12.0,meningitisnow,Meningitis Now,2133.0,Meningitis Now (2133)
itpsupport_co-occurrence,community,Immune Thrombocytopenia (ITP) Association,,,ITP Support Association (2123),40,-13.0,itpsupport,ITP Support Association,2123.0,Immune Thrombocytopenia (ITP) Association (2123)
my-skin_co-occurrence,community,MY SKIN,,,MY SKIN (1941),40,-14.0,my-skin,MY SKIN,1941.0,MY SKIN (1941)
crohns-colitis-support_co-occurrence,community,Crohn's and Colitis,,,Crohn's and Colitis Support (1771),40,-15.0,crohns-colitis-support,Crohn's and Colitis Support,1771.0,Crohn's and Colitis (1771)
drwfdiabetes_co-occurrence,community,Diabetes Research & Wellness,,,Diabetes Research & Wellness Foundation (1606),40,-16.0,drwfdiabetes,Diabetes Research & Wellness Foundation,1606.0,Diabetes Research & Wellness (1606)
above-beyond_co-occurrence,community,Above & Beyond - Mental Health,,,Above & Beyond - Mental Health (1540),40,-17.0,above-beyond,Above & Beyond - Mental Health,1540.0,Above & Beyond - Mental Health (1540)
blood-pressure-support_co-occurrence,community,High Blood Pressure,,,High Blood Pressure Support (1539),40,-18.0,blood-pressure-support,High Blood Pressure Support,1539.0,High Blood Pressure (1539)
copd-friends_co-occurrence,community,Chronic Obstructive Pulmonary Disease (COPD) Friends,,,COPD Friends (1473),40,-19.0,copd-friends,COPD Friends,1473.0,Chronic Obstructive Pulmonary Disease (COPD) Friends (1473)
fight-prostate-cancer_co-occurrence,community,Fight Prostate Cancer,,,Fight Prostate Cancer (1388),40,-20.0,fight-prostate-cancer,Fight Prostate Cancer,1388.0,Fight Prostate Cancer (1388)
fertility-ivf_co-occurrence,community,Fertility & Miscarriage & IVF,,,"Fertility, Miscarriage & IVF Support (1381)",40,-21.0,fertility-ivf,"Fertility, Miscarriage & IVF Support",1381.0,Fertility & Miscarriage & IVF (1381)
anticoagulation-support_co-occurrence,community,Anticoagulation,,,Anticoagulation Support (1377),40,-22.0,anticoagulation-support,Anticoagulation Support,1377.0,Anticoagulation (1377)
diabeteshelp_co-occurrence,community,Diabetes & Hypertension,,,Diabetes & Hypertension Help Society (1353),40,-23.0,diabeteshelp,Diabetes & Hypertension Help Society,1353.0,Diabetes & Hypertension (1353)
lupus-support_co-occurrence,community,LUpus Patients Understanding,,,LUpus Patients Understanding and Support (1292),40,-24.0,lupus-support,LUpus Patients Understanding and Support,1292.0,LUpus Patients Understanding (1292)
ansiedad-depresion-apoyo_co-occurrence,community,Apoyo para Ansiedad y Depresion (Anxxiety & Depression),,,Apoyo para Ansiedad y Depresion (1286),40,-25.0,ansiedad-depresion-apoyo,Apoyo para Ansiedad y Depresion,1286.0,Apoyo para Ansiedad y Depresion (Anxxiety & Depression) (1286)
fertility-network-uk-pregnancy_co-occurrence,community,Fertility Network UK  - Pregnancy,,,Fertility Network UK - Pregnancy Support (1234),40,-26.0,fertility-network-uk-pregnancy,Fertility Network UK - Pregnancy Support,1234.0,Fertility Network UK  - Pregnancy (1234)
hepatitisfoundation_co-occurrence,community,HFI Connect - Hepatitis,,,HFI Connect - Hepatitis (1215),40,-27.0,hepatitisfoundation,HFI Connect - Hepatitis,1215.0,HFI Connect - Hepatitis (1215)
amneasier_co-occurrence,community,Adrenomyeloneuropathy (AMN) EASIER,,,AMN EASIER (1185),40,-28.0,amneasier,AMN EASIER,1185.0,Adrenomyeloneuropathy (AMN) EASIER (1185)
edsuk_co-occurrence,community,The Ehlers-Danlos UK,,,The Ehlers-Danlos Support UK (946),40,-29.0,edsuk,The Ehlers-Danlos Support UK,946.0,The Ehlers-Danlos UK (946)
acoustic-neuroma-support_co-occurrence,community,Acoustic Neuroma,,,Acoustic Neuroma Support (940),40,-30.0,acoustic-neuroma-support,Acoustic Neuroma Support,940.0,Acoustic Neuroma (940)
osteoporosis-support_co-occurrence,community,Osteoporosis,,,Osteoporosis Support (902),40,-31.0,osteoporosis-support,Osteoporosis Support,902.0,Osteoporosis (902)
leukaemia-support_co-occurrence,community,Leukaemia,,,Leukaemia Support (808),40,-32.0,leukaemia-support,Leukaemia Support,808.0,Leukaemia (808)
changingfaces_co-occurrence,community,Changing Faces,,,Changing Faces (760),40,-33.0,changingfaces,Changing Faces,760.0,Changing Faces (760)
hivpartners_co-occurrence,community,HIV Partners,,,HIV Partners (759),40,-34.0,hivpartners,HIV Partners,759.0,HIV Partners (759)
sca-heart-attack_co-occurrence,community,Sudden Cardiac Arrest & Heart Attack,,,Sudden Cardiac Arrest & Heart Attack (758),40,-35.0,sca-heart-attack,Sudden Cardiac Arrest & Heart Attack,758.0,Sudden Cardiac Arrest & Heart Attack (758)
livingwithasthma_co-occurrence,community,Living with Asthma,,,Living with Asthma (751),40,-36.0,livingwithasthma,Living with Asthma,751.0,Living with Asthma (751)
drink-free_co-occurrence,community,Drink Free,,,Drink Free (685),40,-37.0,drink-free,Drink Free,685.0,Drink Free (685)
tourettes-action_co-occurrence,community,Tourettes,,,Tourettes Action (680),40,-38.0,tourettes-action,Tourettes Action,680.0,Tourettes (680)
cmtuk_co-occurrence,community,Charcot-Marie-Tooth UK,,,Charcot-Marie-Tooth UK (667),40,-39.0,cmtuk,Charcot-Marie-Tooth UK,667.0,Charcot-Marie-Tooth UK (667)
opa-gord_co-occurrence,community,Acid Reflux,,,Acid Reflux Support (659),40,-40.0,opa-gord,Acid Reflux Support,659.0,Acid Reflux (659)
fasd-support_co-occurrence,community,Foetal Alcohol Spectrum Disorders (FASD),,,FASD Support (636),40,-41.0,fasd-support,FASD Support,636.0,Foetal Alcohol Spectrum Disorders (FASD) (636)
fungalinfectiontrust_co-occurrence,community,Aspergillosis and Rare Fungal Infection,,,Aspergillosis and Rare Fungal Infection Support (561),40,-42.0,fungalinfectiontrust,Aspergillosis and Rare Fungal Infection Support,561.0,Aspergillosis and Rare Fungal Infection (561)
oa-action_co-occurrence,community,Osteoarthritis,,,Osteoarthritis Action (561),40,-43.0,oa-action,Osteoarthritis Action,561.0,Osteoarthritis (561)
