community_url,community_name,member_count,Id
menopause-perimenopause-support,Menopause and Perimenopause Support,554.0,menopause-perimenopause-support_co-occurrence
myositisuk,Myositis UK,543.0,myositisuk_co-occurrence
sicklecellsociety,Sickle Cell Society,521.0,sicklecellsociety_co-occurrence
dialysis-support,Dialysis Support,516.0,dialysis-support_co-occurrence
erectile-dysfunction-support,Erectile Dysfunction Support,508.0,erectile-dysfunction-support_co-occurrence
baby-and-us,Baby and Us,507.0,baby-and-us_co-occurrence
beyond-psoriasis,Beyond Psoriasis,507.0,beyond-psoriasis_co-occurrence
migraine-support,Migraine Support,503.0,migraine-support_co-occurrence
cll-america-support,CLL America Support,478.0,cll-america-support_co-occurrence
hep-c-trust,Hepatitis C Trust,468.0,hep-c-trust_co-occurrence
differentstrokes,Different Strokes,467.0,differentstrokes_co-occurrence
bronchiectasis-support,Bronchiectasis Support,452.0,bronchiectasis-support_co-occurrence
arrhythmia-alliance-heart-failure,Heart Failure Support,449.0,arrhythmia-alliance-heart-failure_co-occurrence
sensitiveissuesmen,Sensitive Issues for Men,441.0,sensitiveissuesmen_co-occurrence
tb-alert,TB Alert,419.0,tb-alert_co-occurrence
transplant-support,Kidney Transplant Patient Support,395.0,transplant-support_co-occurrence
active-surveillance-prostate,Active Surveillance - Prostate Cancer,388.0,active-surveillance-prostate_co-occurrence
alzheimer-support,Memory Health: Alzheimer's Support Group,385.0,alzheimer-support_co-occurrence
one-norfolk-parents,Ask Norfolk Parents,384.0,one-norfolk-parents_co-occurrence
melanomacaregivers,Melanoma Caregivers,381.0,melanomacaregivers_co-occurrence
brain-aneurysm-support,Brain Aneurysm Support,370.0,brain-aneurysm-support_co-occurrence
bowel-disease-support,Bowel Disease Support,369.0,bowel-disease-support_co-occurrence
actiononpain,Action on Pain,366.0,actiononpain_co-occurrence
continencesupport,Continence Support,365.0,continencesupport_co-occurrence
pancreatitis-support,Chronic Pancreatitis Support,362.0,pancreatitis-support_co-occurrence
fightbladdercancer,Fight Bladder Cancer,360.0,fightbladdercancer_co-occurrence
