Id,Type,cluster_id
bronchiectasis-support_co-occurrence,community,
livingwithasthma_co-occurrence,community,
asthmalunguk-lung_co-occurrence,community,
copd-friends_co-occurrence,community,
living-with-ild_co-occurrence,community,
sclc-go2_co-occurrence,community,
Infectious & Communicable Diseases,cluster,Infectious & Communicable Diseases
hivpartners_co-occurrence,community,
meningitisnow_co-occurrence,community,
tb-alert_co-occurrence,community,
hep-c-trust_co-occurrence,community,
icusteps_co-occurrence,community,
livingwellwithhiv_co-occurrence,community,
Rare Diseases & Genetic Disorders,cluster,Rare Diseases & Genetic Disorders
pcdsupport_co-occurrence,community,
dc-action_co-occurrence,community,
living-with-lyme-disease-uk_co-occurrence,community,
Hematology & Blood Disorders,cluster,Hematology & Blood Disorders
itpsupport_co-occurrence,community,
pasoc_co-occurrence,community,
haemochromatosis-uk_co-occurrence,community,
sicklecellsociety_co-occurrence,community,
sicklecelldisease_co-occurrence,community,
leukaemia-support_co-occurrence,community,
Preventive Health & Screening,cluster,Preventive Health & Screening
hearinglink_co-occurrence,community,
deafplus_co-occurrence,community,
mydirectives_co-occurrence,community,
tinnitus-uk_co-occurrence,community,
Eye & Vision Health,cluster,Eye & Vision Health
macularsociety_co-occurrence,community,
pagets-support_co-occurrence,community,
