Id,type,label,cluster_id,cluster_size,label_2,longitude,latitude,community_url,member_count
tinnitus-uk_co-occurrence,community,Tinnitus UK,,,Tinnitus UK (5616),-50,-77.64705882352942,tinnitus-uk,5616.0
nkf-ckd_co-occurrence,community,Kidney Disease,,,Kidney Disease (5304),-50,-80.23529411764706,nkf-ckd,5304.0
ataxia-uk_co-occurrence,community,Ataxia UK,,,Ataxia UK (4708),-50,-82.82352941176471,ataxia-uk,4708.0
menshealth_co-occurrence,community,Men's Health Forum,,,Men's Health Forum (4668),-50,-85.41176470588236,menshealth,4668.0
glutenfreeguerrillas_co-occurrence,community,Gluten Free Guerrillas,,,Gluten Free Guerrillas (4439),-50,-88.0,glutenfreeguerrillas,4439.0
behcetsuk_co-occurrence,community,Behçet's UK,,,Behçet's UK (4412),-50,-90.58823529411764,behcetsuk,4412.0
womenshealth_co-occurrence,community,Women's Health,,,Women's Health (4181),-50,-93.1764705882353,womenshealth,4181.0
lungcancer_co-occurrence,community,The Roy Castle Lung Cancer Foundation,,,The Roy Castle Lung Cancer Foundation (3592),-50,-95.76470588235294,lungcancer,3592.0
livingwithanxiety_co-occurrence,community,Living with Anxiety,,,Living with Anxiety (3328),-50,-98.3529411764706,livingwithanxiety,3328.0
bonehealth_co-occurrence,community,Bone Health and Osteoporosis UK,,,Bone Health and Osteoporosis UK (3034),-50,-100.94117647058825,bonehealth,3034.0
eric_co-occurrence,community,ERIC,,,ERIC (3021),-50,-103.52941176470588,eric,3021.0
early-ckd-support_co-occurrence,community,Early CKD Support,,,Early CKD Support (2783),-50,-106.11764705882354,early-ckd-support,2783.0
app-network_co-occurrence,community,Action on Postpartum Psychosis,,,Action on Postpartum Psychosis (2730),-50,-108.7058823529412,app-network,2730.0
migrainecentre_co-occurrence,community,National Migraine Centre,,,National Migraine Centre (2704),-50,-111.29411764705884,migrainecentre,2704.0
lsn_co-occurrence,community,LSN,,,LSN (2679),-50,-113.88235294117648,lsn,2679.0
cholesterol-support_co-occurrence,community,Cholesterol Support,,,Cholesterol Support (2651),-50,-116.47058823529412,cholesterol-support,2651.0
macularsociety_co-occurrence,community,Macular Society,,,Macular Society (2646),-50,-119.05882352941175,macularsociety,2646.0
icusteps_co-occurrence,community,ICUsteps,,,ICUsteps (2515),-50,-121.64705882352942,icusteps,2515.0
active10_co-occurrence,community,Active,,,Active (2446),-50,-124.23529411764709,active10,2446.0
care-community_co-occurrence,community,Care Community,,,Care Community (2372),-50,-126.82352941176472,care-community,2372.0
lung-cancer-support_co-occurrence,community,Lung Cancer Support,,,Lung Cancer Support (2224),-50,-129.41176470588235,lung-cancer-support,2224.0
arthritis-action_co-occurrence,community,Arthritis Action,,,Arthritis Action (2183),-50,-132.0,arthritis-action,2183.0
glaucoma-uk_co-occurrence,community,Glaucoma UK,,,Glaucoma UK (2179),-50,-134.58823529411765,glaucoma-uk,2179.0
meningitisnow_co-occurrence,community,Meningitis Now,,,Meningitis Now (2133),-50,-137.1764705882353,meningitisnow,2133.0
itpsupport_co-occurrence,community,ITP Support Association,,,ITP Support Association (2123),-50,-139.76470588235296,itpsupport,2123.0
my-skin_co-occurrence,community,MY SKIN,,,MY SKIN (1941),-50,-142.3529411764706,my-skin,1941.0
crohns-colitis-support_co-occurrence,community,Crohn's and Colitis Support,,,Crohn's and Colitis Support (1771),-50,-144.94117647058823,crohns-colitis-support,1771.0
drwfdiabetes_co-occurrence,community,Diabetes Research & Wellness Foundation,,,Diabetes Research & Wellness Foundation (1606),-50,-147.52941176470588,drwfdiabetes,1606.0
above-beyond_co-occurrence,community,Above & Beyond - Mental Health,,,Above & Beyond - Mental Health (1540),-50,-150.11764705882354,above-beyond,1540.0
blood-pressure-support_co-occurrence,community,High Blood Pressure Support,,,High Blood Pressure Support (1539),-50,-152.7058823529412,blood-pressure-support,1539.0
copd-friends_co-occurrence,community,COPD Friends,,,COPD Friends (1473),-50,-155.29411764705884,copd-friends,1473.0
fight-prostate-cancer_co-occurrence,community,Fight Prostate Cancer,,,Fight Prostate Cancer (1388),-50,-157.8823529411765,fight-prostate-cancer,1388.0
fertility-ivf_co-occurrence,community,"Fertility, Miscarriage & IVF Support",,,"Fertility, Miscarriage & IVF Support (1381)",-50,-160.47058823529412,fertility-ivf,1381.0
anticoagulation-support_co-occurrence,community,Anticoagulation Support,,,Anticoagulation Support (1377),-50,-163.05882352941177,anticoagulation-support,1377.0
diabeteshelp_co-occurrence,community,Diabetes & Hypertension Help Society,,,Diabetes & Hypertension Help Society (1353),-50,-165.64705882352942,diabeteshelp,1353.0
lupus-support_co-occurrence,community,LUpus Patients Understanding and Support,,,LUpus Patients Understanding and Support (1292),-50,-168.23529411764707,lupus-support,1292.0
ansiedad-depresion-apoyo_co-occurrence,community,Apoyo para Ansiedad y Depresion,,,Apoyo para Ansiedad y Depresion (1286),-50,-170.82352941176472,ansiedad-depresion-apoyo,1286.0
fertility-network-uk-pregnancy_co-occurrence,community,Fertility Network UK - Pregnancy Support,,,Fertility Network UK - Pregnancy Support (1234),-50,-173.41176470588235,fertility-network-uk-pregnancy,1234.0
hepatitisfoundation_co-occurrence,community,HFI Connect - Hepatitis,,,HFI Connect - Hepatitis (1215),-50,-176.0,hepatitisfoundation,1215.0
amneasier_co-occurrence,community,AMN EASIER,,,AMN EASIER (1185),-50,-178.58823529411765,amneasier,1185.0
edsuk_co-occurrence,community,The Ehlers-Danlos Support UK,,,The Ehlers-Danlos Support UK (946),-50,-181.1764705882353,edsuk,946.0
