community_url,label,member_count,Id,type,label_2,longitude,latitude
youngadultswithmelanoma,Young Adults with Melanoma,127.0,youngadultswithmelanoma_co-occurrence,community,Young Adults with Melanoma (127),30,-14
sclc-go2,Small Cell Lung Cancer Support,123.0,sclc-go2_co-occurrence,community,Small Cell Lung Cancer Support (123),30,-15
cavernoma-uk,Cavernoma Alliance UK,119.0,cavernoma-uk_co-occurrence,community,Cavernoma Alliance UK (119),30,-16
allergic-to-glycols,Allergic to Glycols,117.0,allergic-to-glycols_co-occurrence,community,Allergic to Glycols (117),30,-17
adult-acne-support,Adult Acne Support,111.0,adult-acne-support_co-occurrence,community,Adult Acne Support (111),30,-18
fpa-contraception,FPA Contraception,111.0,fpa-contraception_co-occurrence,community,FPA Contraception (111),30,-19
sicklecelldisease,Living with Sickle Cell Disease,108.0,sicklecelldisease_co-occurrence,community,Living with Sickle Cell Disease (108),30,-20
fierybones-ra,FieryBones - RA Community,106.0,fierybones-ra_co-occurrence,community,FieryBones - RA Community (106),30,-21
mga,Myasthenia Gravis Association,95.0,mga_co-occurrence,community,Myasthenia Gravis Association (95),30,-22
c3g,C,95.0,c3g_co-occurrence,community,C (95),30,-23
pagets-support,Paget’s Support,90.0,pagets-support_co-occurrence,community,Paget’s Support (90),30,-24
living-with-lyme-disease-uk,Living with Lyme Disease UK,73.0,living-with-lyme-disease-uk_co-occurrence,community,Living with Lyme Disease UK (73),30,-25
endometriosis-nz,Endometriosis New Zealand,69.0,endometriosis-nz_co-occurrence,community,Endometriosis New Zealand (69),30,-26
chronic-myofascial-pain,Chronic Myofascial Pain,53.0,chronic-myofascial-pain_co-occurrence,community,Chronic Myofascial Pain (53),30,-27
living-with-ild,Living with Interstitial Lung Disease (ILD),49.0,living-with-ild_co-occurrence,community,Living with Interstitial Lung Disease (ILD) (49),30,-28
myelomauk,Myeloma UK,47.0,myelomauk_co-occurrence,community,Myeloma UK (47),30,-29
mamafit,Mamafit,44.0,mamafit_co-occurrence,community,Mamafit (44),30,-30
partnersforbehcets,Partners for Behcet's,43.0,partnersforbehcets_co-occurrence,community,Partners for Behcet's (43),30,-31
downs-support,Down's Syndrome Support,43.0,downs-support_co-occurrence,community,Down's Syndrome Support (43),30,-32
cancer-journeys-foundation,Cancer Journeys Foundation,42.0,cancer-journeys-foundation_co-occurrence,community,Cancer Journeys Foundation (42),30,-33
livernorth,LIVErNORTH,41.0,livernorth_co-occurrence,community,LIVErNORTH (41),30,-34
mydirectives,MyDirectives: Make your medical wishes known!,40.0,mydirectives_co-occurrence,community,MyDirectives: Make your medical wishes known! (40),30,-35
pseudomyxoma-survivor,Pseudomyxoma Survivor,40.0,pseudomyxoma-survivor_co-occurrence,community,Pseudomyxoma Survivor (40),30,-36
cookforyourlife,Cook For Your Life,29.0,cookforyourlife_co-occurrence,community,Cook For Your Life (29),30,-37
demo-community,Demo Community,27.0,demo-community_co-occurrence,community,Demo Community (27),30,-38
dc-action,DC Action,21.0,dc-action_co-occurrence,community,DC Action (21),30,-39
apma,Australian Pain Management Association,20.0,apma_co-occurrence,community,Australian Pain Management Association (20),30,-40
crohnscolitis,Crohn's & Colitis,6.0,crohnscolitis_co-occurrence,community,Crohn's & Colitis (6),30,-41
barretts-oesophagus,Barrett's Oesophagus,5.0,barretts-oesophagus_co-occurrence,community,Barrett's Oesophagus (5),30,-42
