Id,type,label,cluster_id,cluster_size,label_2,longitude,latitude,community_url,member_count
bhf_co-occurrence,community,British Heart Foundation,,,British Heart Foundation (35558),-30,30,bhf,35558.0
nosmokingday_co-occurrence,community,No Smoking Day,,,No Smoking Day (32495),-30,29,nosmokingday,32495.0
quitsupport_co-occurrence,community,Quit Support,,,Quit Support (30561),-30,28,quitsupport,30561.0
lupusuk_co-occurrence,community,LUPUS UK,,,LUPUS UK (28837),-30,27,lupusuk,28837.0
advanced-prostate-cancer_co-occurrence,community,Advanced Prostate Cancer,,,Advanced Prostate Cancer (28798),-30,26,advanced-prostate-cancer,28798.0
bridgeto10k_co-occurrence,community,Bridge to,,,Bridge to (26817),-30,25,bridgeto10k,26817.0
asthmalunguk-asthma_co-occurrence,community,Asthma Community Forum,,,Asthma Community Forum (25092),-30,24,asthmalunguk-asthma,25092.0
pasoc_co-occurrence,community,Pernicious Anaemia Society,,,Pernicious Anaemia Society (24457),-30,23,pasoc,24457.0
britishlivertrust_co-occurrence,community,British Liver Trust,,,British Liver Trust (19073),-30,22,britishlivertrust,19073.0
theibsnetwork_co-occurrence,community,IBS Network,,,IBS Network (16340),-30,21,theibsnetwork,16340.0
healmyptsd_co-occurrence,community,Heal My PTSD,,,Heal My PTSD (12792),-30,20,healmyptsd,12792.0
painconcern_co-occurrence,community,Pain Concern,,,Pain Concern (12190),-30,19,painconcern,12190.0
diabetesindia_co-occurrence,community,Diabetes India,,,Diabetes India (12107),-30,18,diabetesindia,12107.0
hughes-syndrome_co-occurrence,community,Hughes Syndrome APS Forum,,,Hughes Syndrome APS Forum (10649),-30,17,hughes-syndrome,10649.0
menshealth-penishealth_co-occurrence,community,Men's Health Forum (Penis Health),,,Men's Health Forum (Penis Health) (9139),-30,16,menshealth-penishealth,9139.0
pbc-foundation_co-occurrence,community,PBC Foundation,,,PBC Foundation (8523),-30,15,pbc-foundation,8523.0
adhd-parents_co-occurrence,community,CHADD's ADHD Parents Together,,,CHADD's ADHD Parents Together (6541),-30,14,adhd-parents,6541.0
adult-adhd_co-occurrence,community,CHADD's Adult ADHD Support,,,CHADD's Adult ADHD Support (6368),-30,13,adult-adhd,6368.0
tinnitus-uk_co-occurrence,community,Tinnitus UK,,,Tinnitus UK (5616),-30,12,tinnitus-uk,5616.0
nkf-ckd_co-occurrence,community,Kidney Disease,,,Kidney Disease (5304),-30,11,nkf-ckd,5304.0
ataxia-uk_co-occurrence,community,Ataxia UK,,,Ataxia UK (4708),-30,10,ataxia-uk,4708.0
menshealth_co-occurrence,community,Men's Health Forum,,,Men's Health Forum (4668),-30,9,menshealth,4668.0
glutenfreeguerrillas_co-occurrence,community,Gluten Free Guerrillas,,,Gluten Free Guerrillas (4439),-30,8,glutenfreeguerrillas,4439.0
behcetsuk_co-occurrence,community,Behçet's UK,,,Behçet's UK (4412),-30,7,behcetsuk,4412.0
womenshealth_co-occurrence,community,Women's Health,,,Women's Health (4181),-30,6,womenshealth,4181.0
lungcancer_co-occurrence,community,The Roy Castle Lung Cancer Foundation,,,The Roy Castle Lung Cancer Foundation (3592),-30,5,lungcancer,3592.0
livingwithanxiety_co-occurrence,community,Living with Anxiety,,,Living with Anxiety (3328),-30,4,livingwithanxiety,3328.0
bonehealth_co-occurrence,community,Bone Health and Osteoporosis UK,,,Bone Health and Osteoporosis UK (3034),-30,3,bonehealth,3034.0
eric_co-occurrence,community,ERIC,,,ERIC (3021),-30,2,eric,3021.0
early-ckd-support_co-occurrence,community,Early CKD Support,,,Early CKD Support (2783),-30,1,early-ckd-support,2783.0
app-network_co-occurrence,community,Action on Postpartum Psychosis,,,Action on Postpartum Psychosis (2730),-30,0,app-network,2730.0
migrainecentre_co-occurrence,community,National Migraine Centre,,,National Migraine Centre (2704),-30,-1,migrainecentre,2704.0
lsn_co-occurrence,community,LSN,,,LSN (2679),-30,-2,lsn,2679.0
cholesterol-support_co-occurrence,community,Cholesterol Support,,,Cholesterol Support (2651),-30,-3,cholesterol-support,2651.0
macularsociety_co-occurrence,community,Macular Society,,,Macular Society (2646),-30,-4,macularsociety,2646.0
icusteps_co-occurrence,community,ICUsteps,,,ICUsteps (2515),-30,-5,icusteps,2515.0
active10_co-occurrence,community,Active,,,Active (2446),-30,-6,active10,2446.0
care-community_co-occurrence,community,Care Community,,,Care Community (2372),-30,-7,care-community,2372.0
lung-cancer-support_co-occurrence,community,Lung Cancer Support,,,Lung Cancer Support (2224),-30,-8,lung-cancer-support,2224.0
arthritis-action_co-occurrence,community,Arthritis Action,,,Arthritis Action (2183),-30,-9,arthritis-action,2183.0
glaucoma-uk_co-occurrence,community,Glaucoma UK,,,Glaucoma UK (2179),-30,-10,glaucoma-uk,2179.0
meningitisnow_co-occurrence,community,Meningitis Now,,,Meningitis Now (2133),-30,-11,meningitisnow,2133.0
itpsupport_co-occurrence,community,ITP Support Association,,,ITP Support Association (2123),-30,-12,itpsupport,2123.0
my-skin_co-occurrence,community,MY SKIN,,,MY SKIN (1941),-30,-13,my-skin,1941.0
crohns-colitis-support_co-occurrence,community,Crohn's and Colitis Support,,,Crohn's and Colitis Support (1771),-30,-14,crohns-colitis-support,1771.0
drwfdiabetes_co-occurrence,community,Diabetes Research & Wellness Foundation,,,Diabetes Research & Wellness Foundation (1606),-30,-15,drwfdiabetes,1606.0
above-beyond_co-occurrence,community,Above & Beyond - Mental Health,,,Above & Beyond - Mental Health (1540),-30,-16,above-beyond,1540.0
blood-pressure-support_co-occurrence,community,High Blood Pressure Support,,,High Blood Pressure Support (1539),-30,-17,blood-pressure-support,1539.0
copd-friends_co-occurrence,community,COPD Friends,,,COPD Friends (1473),-30,-18,copd-friends,1473.0
fight-prostate-cancer_co-occurrence,community,Fight Prostate Cancer,,,Fight Prostate Cancer (1388),-30,-19,fight-prostate-cancer,1388.0
fertility-ivf_co-occurrence,community,"Fertility, Miscarriage & IVF Support",,,"Fertility, Miscarriage & IVF Support (1381)",-30,-20,fertility-ivf,1381.0
anticoagulation-support_co-occurrence,community,Anticoagulation Support,,,Anticoagulation Support (1377),-30,-21,anticoagulation-support,1377.0
diabeteshelp_co-occurrence,community,Diabetes & Hypertension Help Society,,,Diabetes & Hypertension Help Society (1353),-30,-22,diabeteshelp,1353.0
lupus-support_co-occurrence,community,LUpus Patients Understanding and Support,,,LUpus Patients Understanding and Support (1292),-30,-23,lupus-support,1292.0
ansiedad-depresion-apoyo_co-occurrence,community,Apoyo para Ansiedad y Depresion,,,Apoyo para Ansiedad y Depresion (1286),-30,-24,ansiedad-depresion-apoyo,1286.0
fertility-network-uk-pregnancy_co-occurrence,community,Fertility Network UK - Pregnancy Support,,,Fertility Network UK - Pregnancy Support (1234),-30,-25,fertility-network-uk-pregnancy,1234.0
hepatitisfoundation_co-occurrence,community,HFI Connect - Hepatitis,,,HFI Connect - Hepatitis (1215),-30,-26,hepatitisfoundation,1215.0
amneasier_co-occurrence,community,AMN EASIER,,,AMN EASIER (1185),-30,-27,amneasier,1185.0
edsuk_co-occurrence,community,The Ehlers-Danlos Support UK,,,The Ehlers-Danlos Support UK (946),-30,-28,edsuk,946.0
acoustic-neuroma-support_co-occurrence,community,Acoustic Neuroma Support,,,Acoustic Neuroma Support (940),-30,-29,acoustic-neuroma-support,940.0
osteoporosis-support_co-occurrence,community,Osteoporosis Support,,,Osteoporosis Support (902),-30,-30,osteoporosis-support,902.0
leukaemia-support_co-occurrence,community,Leukaemia Support,,,Leukaemia Support (808),-30,-31,leukaemia-support,808.0
changingfaces_co-occurrence,community,Changing Faces,,,Changing Faces (760),-30,-32,changingfaces,760.0
hivpartners_co-occurrence,community,HIV Partners,,,HIV Partners (759),-30,-33,hivpartners,759.0
sca-heart-attack_co-occurrence,community,Sudden Cardiac Arrest & Heart Attack,,,Sudden Cardiac Arrest & Heart Attack (758),-30,-34,sca-heart-attack,758.0
livingwithasthma_co-occurrence,community,Living with Asthma,,,Living with Asthma (751),-30,-35,livingwithasthma,751.0
drink-free_co-occurrence,community,Drink Free,,,Drink Free (685),-30,-36,drink-free,685.0
tourettes-action_co-occurrence,community,Tourettes Action,,,Tourettes Action (680),-30,-37,tourettes-action,680.0
cmtuk_co-occurrence,community,Charcot-Marie-Tooth UK,,,Charcot-Marie-Tooth UK (667),-30,-38,cmtuk,667.0
opa-gord_co-occurrence,community,Acid Reflux Support,,,Acid Reflux Support (659),-30,-39,opa-gord,659.0
fasd-support_co-occurrence,community,FASD Support,,,FASD Support (636),-30,-40,fasd-support,636.0
fungalinfectiontrust_co-occurrence,community,Aspergillosis and Rare Fungal Infection Support,,,Aspergillosis and Rare Fungal Infection Support (561),-30,-41,fungalinfectiontrust,561.0
oa-action_co-occurrence,community,Osteoarthritis Action,,,Osteoarthritis Action (561),-30,-42,oa-action,561.0
menopause-perimenopause-support_co-occurrence,community,Menopause and Perimenopause Support,,,Menopause and Perimenopause Support (554),-30,-43,menopause-perimenopause-support,554.0
myositisuk_co-occurrence,community,Myositis UK,,,Myositis UK (543),30,42,myositisuk,543.0
sicklecellsociety_co-occurrence,community,Sickle Cell Society,,,Sickle Cell Society (521),30,41,sicklecellsociety,521.0
dialysis-support_co-occurrence,community,Dialysis Support,,,Dialysis Support (516),30,40,dialysis-support,516.0
erectile-dysfunction-support_co-occurrence,community,Erectile Dysfunction Support,,,Erectile Dysfunction Support (508),30,39,erectile-dysfunction-support,508.0
baby-and-us_co-occurrence,community,Baby and Us,,,Baby and Us (507),30,38,baby-and-us,507.0
beyond-psoriasis_co-occurrence,community,Beyond Psoriasis,,,Beyond Psoriasis (507),30,37,beyond-psoriasis,507.0
migraine-support_co-occurrence,community,Migraine Support,,,Migraine Support (503),30,36,migraine-support,503.0
cll-america-support_co-occurrence,community,CLL America Support,,,CLL America Support (478),30,35,cll-america-support,478.0
hep-c-trust_co-occurrence,community,Hepatitis C Trust,,,Hepatitis C Trust (468),30,34,hep-c-trust,468.0
differentstrokes_co-occurrence,community,Different Strokes,,,Different Strokes (467),30,33,differentstrokes,467.0
bronchiectasis-support_co-occurrence,community,Bronchiectasis Support,,,Bronchiectasis Support (452),30,32,bronchiectasis-support,452.0
arrhythmia-alliance-heart-failure_co-occurrence,community,Heart Failure Support,,,Heart Failure Support (449),30,31,arrhythmia-alliance-heart-failure,449.0
sensitiveissuesmen_co-occurrence,community,Sensitive Issues for Men,,,Sensitive Issues for Men (441),30,30,sensitiveissuesmen,441.0
tb-alert_co-occurrence,community,TB Alert,,,TB Alert (419),30,29,tb-alert,419.0
transplant-support_co-occurrence,community,Kidney Transplant Patient Support,,,Kidney Transplant Patient Support (395),30,28,transplant-support,395.0
active-surveillance-prostate_co-occurrence,community,Active Surveillance - Prostate Cancer,,,Active Surveillance - Prostate Cancer (388),30,27,active-surveillance-prostate,388.0
alzheimer-support_co-occurrence,community,Memory Health: Alzheimer's Support Group,,,Memory Health: Alzheimer's Support Group (385),30,26,alzheimer-support,385.0
one-norfolk-parents_co-occurrence,community,Ask Norfolk Parents,,,Ask Norfolk Parents (384),30,25,one-norfolk-parents,384.0
melanomacaregivers_co-occurrence,community,Melanoma Caregivers,,,Melanoma Caregivers (381),30,24,melanomacaregivers,381.0
brain-aneurysm-support_co-occurrence,community,Brain Aneurysm Support,,,Brain Aneurysm Support (370),30,23,brain-aneurysm-support,370.0
bowel-disease-support_co-occurrence,community,Bowel Disease Support,,,Bowel Disease Support (369),30,22,bowel-disease-support,369.0
actiononpain_co-occurrence,community,Action on Pain,,,Action on Pain (366),30,21,actiononpain,366.0
