community_url,label,member_count,Id,type,label_2,longitude,latitude
epilepsysociety,Epilepsy Society,150.0,epilepsysociety_co-occurrence,community,Epilepsy Society (150),50,-130.95238095238096
heart-valve-voice,Heart Valve Voice,148.0,heart-valve-voice_co-occurrence,community,Heart Valve Voice (148),50,-133.57142857142858
haemochromatosis-uk,Haemochromatosis Society UK,140.0,haemochromatosis-uk_co-occurrence,community,Haemochromatosis Society UK (140),50,-136.1904761904762
hearinglink,Hearing Link,137.0,hearinglink_co-occurrence,community,Hearing Link (137),50,-138.80952380952382
quit4life,Quit,133.0,quit4life_co-occurrence,community,Quit (133),50,-141.42857142857142
the-endometriosis-foundation,The Endometriosis Foundation,131.0,the-endometriosis-foundation_co-occurrence,community,The Endometriosis Foundation (131),50,-144.04761904761904
youngadultswithmelanoma,Young Adults with Melanoma,127.0,youngadultswithmelanoma_co-occurrence,community,Young Adults with Melanoma (127),50,-146.66666666666666
sclc-go2,Small Cell Lung Cancer Support,123.0,sclc-go2_co-occurrence,community,Small Cell Lung Cancer Support (123),50,-149.28571428571428
cavernoma-uk,Cavernoma Alliance UK,119.0,cavernoma-uk_co-occurrence,community,Cavernoma Alliance UK (119),50,-151.9047619047619
allergic-to-glycols,Allergic to Glycols,117.0,allergic-to-glycols_co-occurrence,community,Allergic to Glycols (117),50,-154.52380952380952
adult-acne-support,Adult Acne Support,111.0,adult-acne-support_co-occurrence,community,Adult Acne Support (111),50,-157.14285714285714
fpa-contraception,FPA Contraception,111.0,fpa-contraception_co-occurrence,community,FPA Contraception (111),50,-159.76190476190476
sicklecelldisease,Living with Sickle Cell Disease,108.0,sicklecelldisease_co-occurrence,community,Living with Sickle Cell Disease (108),50,-162.38095238095238
fierybones-ra,FieryBones - RA Community,106.0,fierybones-ra_co-occurrence,community,FieryBones - RA Community (106),50,-165.0
mga,Myasthenia Gravis Association,95.0,mga_co-occurrence,community,Myasthenia Gravis Association (95),50,-167.61904761904762
c3g,C,95.0,c3g_co-occurrence,community,C (95),50,-170.23809523809524
pagets-support,Paget’s Support,90.0,pagets-support_co-occurrence,community,Paget’s Support (90),50,-172.85714285714286
living-with-lyme-disease-uk,Living with Lyme Disease UK,73.0,living-with-lyme-disease-uk_co-occurrence,community,Living with Lyme Disease UK (73),50,-175.47619047619048
endometriosis-nz,Endometriosis New Zealand,69.0,endometriosis-nz_co-occurrence,community,Endometriosis New Zealand (69),50,-178.0952380952381
chronic-myofascial-pain,Chronic Myofascial Pain,53.0,chronic-myofascial-pain_co-occurrence,community,Chronic Myofascial Pain (53),50,-180.71428571428572
living-with-ild,Living with Interstitial Lung Disease (ILD),49.0,living-with-ild_co-occurrence,community,Living with Interstitial Lung Disease (ILD) (49),50,-183.33333333333334
myelomauk,Myeloma UK,47.0,myelomauk_co-occurrence,community,Myeloma UK (47),50,-185.95238095238096
mamafit,Mamafit,44.0,mamafit_co-occurrence,community,Mamafit (44),50,-188.57142857142858
partnersforbehcets,Partners for Behcet's,43.0,partnersforbehcets_co-occurrence,community,Partners for Behcet's (43),50,-191.1904761904762
downs-support,Down's Syndrome Support,43.0,downs-support_co-occurrence,community,Down's Syndrome Support (43),50,-193.80952380952382
cancer-journeys-foundation,Cancer Journeys Foundation,42.0,cancer-journeys-foundation_co-occurrence,community,Cancer Journeys Foundation (42),50,-196.42857142857142
livernorth,LIVErNORTH,41.0,livernorth_co-occurrence,community,LIVErNORTH (41),50,-199.04761904761904
mydirectives,MyDirectives: Make your medical wishes known!,40.0,mydirectives_co-occurrence,community,MyDirectives: Make your medical wishes known! (40),50,-201.66666666666666
pseudomyxoma-survivor,Pseudomyxoma Survivor,40.0,pseudomyxoma-survivor_co-occurrence,community,Pseudomyxoma Survivor (40),50,-204.28571428571428
cookforyourlife,Cook For Your Life,29.0,cookforyourlife_co-occurrence,community,Cook For Your Life (29),50,-206.9047619047619
demo-community,Demo Community,27.0,demo-community_co-occurrence,community,Demo Community (27),50,-209.52380952380952
dc-action,DC Action,21.0,dc-action_co-occurrence,community,DC Action (21),50,-212.14285714285714
apma,Australian Pain Management Association,20.0,apma_co-occurrence,community,Australian Pain Management Association (20),50,-214.76190476190476
crohnscolitis,Crohn's & Colitis,6.0,crohnscolitis_co-occurrence,community,Crohn's & Colitis (6),50,-217.38095238095238
barretts-oesophagus,Barrett's Oesophagus,5.0,barretts-oesophagus_co-occurrence,community,Barrett's Oesophagus (5),50,-220.0
